CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Gender_Male,Geography_Germany,Geography_Spain,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER
1.2878755888781108,0.2935174228967471,6,0.9213076242138607,2,0,1,1.5258789071633436,0,1,-1.4541629336794042,1.0,0.0,0.0,1.0,0.0,0.0
-0.9159876375633287,0.0074566507928420294,6,0.8667321132334722,1,1,0,-1.5691055244728345,1,5,-0.5555890917557937,0.0,1.0,0.0,0.0,0.0,0.0
0.9671255418373379,0.0074566507928420294,6,-1.2258476714090278,1,0,0,-1.555057646312745,0,4,-0.059824213453112084,0.0,0.0,0.0,0.0,0.0,0.0
1.1947546074791768,0.1981638321954454,0,-1.2258476714090278,2,0,1,-1.1443181453322302,0,4,0.28101414037998157,1.0,0.0,1.0,1.0,0.0,0.0
0.13938348495792402,0.8656389671045572,10,-1.2258476714090278,1,1,0,0.697002102605767,1,1,-0.49361848196795854,1.0,0.0,0.0,0.0,1.0,0.0
0.553254513397631,-0.27860412131106305,3,0.6071793363398656,1,0,1,-0.5787017701152719,0,3,-1.4984276549564295,1.0,0.0,0.0,0.0,1.0,0.0
-0.34379969048300074,0.31063368572277694,4,0.18096641165685812,2,1,0,0.5399159372255385,1,3,0.42850501918047623,0.0,1.0,0.0,0.0,0.0,0.0
0.5739480648196164,0.6749317857019538,2,0.8201804140166283,2,1,0,0.8706078001189224,1,2,-1.2062804945280634,0.0,0.0,1.0,0.0,1.0,0.0
0.8119239061724478,0.10281024149414371,5,0.5944249631347108,2,1,0,0.05748525636675644,0,4,1.7196175818832988,1.0,1.0,0.0,0.0,0.0,1.0
1.133482768225244,0.9118624852333127,1,0.871191741870732,1,1,0,0.06428990757096946,1,2,0.3620856093795931,1.0,1.0,0.0,0.0,1.0,0.0
1.0705932989472646,-0.18325053060976135,6,-1.2258476714090278,1,1,1,0.279119200109934,0,5,-0.49361848196795854,1.0,0.0,0.0,0.0,0.0,1.0
-0.821692350485297,0.46590375683066965,1,1.2151602730091668,2,0,0,-0.10243042897323269,1,2,-1.2386803770938029,0.23842717895348364,0.23842717895348364,0.0,0.0,0.0,1.0
